파일명,예측 클래스,예측 클래스 인덱스,관련 공정 단계,권장 조치 방안,실행 날짜,실행 시각,추론 지연시간(ms)
8_none_idx18397.png,Normal,8,,,2026-07-02,10:25:23,324.1
7_Scratch_idx136531.png,Scratch,7,이송 / CMP / 핸들링 공정,"웨이퍼 핸들러/이송 로봇 정렬 점검, CMP 패드 컨디셔닝·이물 제거 강화, 카세트 슬롯 상태 점검.",2026-07-02,10:25:23,316.7
7_Scratch_idx50697.png,Normal,8,,,2026-07-02,10:25:23,314.1
7_Scratch_idx15952.png,Normal,8,,,2026-07-02,10:25:24,316.5
7_Scratch_idx4943.png,Normal,8,,,2026-07-02,10:25:24,315.9
6_Random_idx123647.png,Random,6,다수/복합 공정 (특정 단계 특정 불가),"설비 예방점검 이력·주기 점검, 클린룸/환경 파티클 점검, 발생 빈도가 높은 로트 공통 공정 단계 교차 분석(공정 추적 필요).",2026-07-02,10:25:24,315.9
6_Random_idx115331.png,Random,6,다수/복합 공정 (특정 단계 특정 불가),"설비 예방점검 이력·주기 점검, 클린룸/환경 파티클 점검, 발생 빈도가 높은 로트 공통 공정 단계 교차 분석(공정 추적 필요).",2026-07-02,10:25:25,315.2
6_Random_idx105464.png,Loc,4,포토 공정 / 파티클 / 이물 오염,"노광 클린룸 파티클 모니터링 강화, 마스크/펠리클 점검, 이물 검사 후 세정 레시피 강화.",2026-07-02,10:25:25,313.3
6_Random_idx62939.png,Random,6,다수/복합 공정 (특정 단계 특정 불가),"설비 예방점검 이력·주기 점검, 클린룸/환경 파티클 점검, 발생 빈도가 높은 로트 공통 공정 단계 교차 분석(공정 추적 필요).",2026-07-02,10:25:25,312.0
5_Near-full_idx110626.png,Near-full,5,웨이퍼(전) 공정 전체 / 설비·계측 이상,"해당 로트 즉시 격리 및 설비 로그/레시피 이력 점검, 설비·센서 정밀 점검, 재발 방지 위해 인터록 조건 재검토.",2026-07-02,10:25:26,313.4
5_Near-full_idx56726.png,Random,6,다수/복합 공정 (특정 단계 특정 불가),"설비 예방점검 이력·주기 점검, 클린룸/환경 파티클 점검, 발생 빈도가 높은 로트 공통 공정 단계 교차 분석(공정 추적 필요).",2026-07-02,10:25:26,311.8
